trial_uid,binary_success_label,start_year,phase_numeric,is_phase_1_2_combined,num_arms,is_randomized,is_multi_center,country_count,is_multi_country,intervention_type,is_combination_therapy,sponsor_type,sponsor_trial_count_total,sponsor_trial_count_last_5y,sponsor_success_rate_historical,is_top_10_sponsor,target_primary,target_category,target_trial_count_total,target_trial_count_last_5y,target_success_rate_historical,is_novel_target
2022-500905-42-00,NA,2022,1,0,NA,0,0,1,0,NA,0,academic,0,0,NA,0,advanced disease,NA,228,69,0,0
2022-501854-12-00,NA,2023,1,0,NA,0,0,1,0,NA,0,biotech,0,0,NA,0,genomics precision,NA,8,5,NA,0
2022-502117-29-00,NA,2023,3,0,NA,0,0,2,1,DRUG,0,unknown,0,0,NA,0,kalciumfolinat stada 10 mg ml injektionsv tska l sning,drug,0,0,NA,1
2022-502367-37-00,NA,2023,1,0,NA,0,0,3,1,NA,0,big_pharma,3,2,NA,0,advanced disease,NA,241,67,0,0
2022-502404-73-00,NA,2023,2,0,NA,0,0,6,1,OTHER,0,biotech,2,0,1,0,gene therapy medicinal product mrna,other,0,0,NA,1
2023-503558-10-00,NA,2023,3,0,NA,1,0,4,1,DRUG,0,unknown,0,0,NA,0,irinotecan,drug,2,0,1,0
2023-503632-41-00,NA,2023,2,0,NA,0,0,1,0,DRUG,0,academic,2,0,NA,0,visipaque injektionsv ske opl sning,drug,0,0,NA,1
2023-503905-12-00,NA,2023,2,0,NA,0,0,4,1,DRUG,0,big_pharma,2,1,0,0,lenvatinib,drug,0,0,NA,1
2023-504376-21-00,NA,2023,1,0,NA,0,0,1,0,NA,0,unknown,0,0,NA,0,advanced disease,NA,241,67,0,0
2023-505286-84-00,NA,2024,2,0,NA,1,0,1,0,NA,0,unknown,0,0,NA,0,biomarker,NA,59,31,0.5,0
2023-506030-70-00,NA,2025,2,0,1,0,0,1,0,OTHER,0,unknown,0,0,NA,0,s 2 2 2 10 2 4 3 4 2 2 cyano 4 4 difluoropyrrolidin 1 yl 2 oxoethylcarbamoyl quinolin 6 yl methyl amino propyl piperazin 1 yl 2 oxoethyl 68ga 1 4 7 10 tetraazacyclododecane 1 4 7 triyl triacetate,other,0,0,NA,1
2023-506228-10-00,NA,2024,1,0,NA,0,0,2,1,OTHER,0,biotech,1,0,NA,0,chemical,other,0,0,NA,1
2023-506369-79-00,NA,2023,2,0,NA,0,0,5,1,DRUG,0,unknown,0,0,NA,0,bi 907828,drug,0,0,NA,1
2023-506553-37-00,NA,2023,2,0,NA,1,0,1,0,DRUG,0,academic,1,1,NA,0,placebo,drug,2,0,0,0
2023-506979-10-00,NA,2024,1,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,proleukin 18 x 106 iu powder for solution for injection or infusion,drug,0,0,NA,1
2023-507367-18-00,NA,2023,4,0,NA,1,0,3,1,DRUG,0,unknown,0,0,NA,0,kreon 35 000 u c psulas duras gastrorresistentes,drug,0,0,NA,1
2023-507773-17-00,NA,2024,2,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,autologous pancreatic islets,drug,0,0,NA,1
2023-508567-75-00,NA,2024,1,0,NA,0,0,1,0,NA,0,academic,0,0,NA,0,imaging diagnostics,NA,51,19,0,0
2023-508703-21-00,NA,2024,1,0,NA,0,0,2,1,DRUG,0,big_pharma,4,3,0,0,NA,drug,NA,NA,NA,NA
2023-509022-22-00,NA,2024,3,0,NA,1,0,1,0,DRUG,0,academic,0,0,NA,0,plavix 75 mg film coated tablets,drug,0,0,NA,1
2023-509463-24-01,NA,2024,2,0,NA,1,0,4,1,DRUG,0,unknown,1,1,NA,0,onivyde pegylated liposomal 4 3 mg ml concentrate for dispersion for infusion,drug,0,0,NA,1
2023-509465-20-00,NA,2024,3,0,NA,0,1,1,0,DRUG,0,unknown,1,1,NA,0,abraxane 5 mg ml powder for dispersion for infusion,drug,0,0,NA,1
2023-509542-35-00,NA,2024,1,0,NA,0,0,4,1,NA,0,big_pharma,4,3,0,0,advanced disease,NA,257,67,0,0
2023-510004-49-00,NA,2024,2,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,zymad 10 000 ui ml solution buvable en gouttes,drug,0,0,NA,1
2023-510208-39-00,NA,2024,2,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,18f fapi 74,drug,0,0,NA,1
2023-510356-23-00,NA,2024,1,0,NA,0,1,6,1,NA,0,big_pharma,4,3,NA,0,advanced disease,NA,257,67,0,0
2023-510490-34-00,NA,2025,2,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,capecitabine,drug,28,2,0.556,0
2024-510576-21-00,NA,2024,2,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,irinotecan hcl trihydraat fresenius kabi 20 mg ml concentraat voor oplossing voor infusie,drug,0,0,NA,1
2024-511119-11-00,NA,2024,1,0,NA,0,0,1,0,NA,0,biotech,0,0,NA,0,advanced disease,NA,257,67,0,0
2024-511238-11-00,NA,2024,1,0,NA,0,0,3,1,NA,0,big_pharma,0,0,NA,0,advanced disease,NA,257,67,0,0
2024-511271-15-00,NA,2024,1,0,NA,0,0,1,0,DRUG,0,big_pharma,0,0,NA,0,abraxane 5 mg ml powder for dispersion for infusion,drug,0,0,NA,1
2024-511459-16-00,NA,2025,1,0,NA,1,0,1,0,DRUG,0,academic,0,0,NA,0,calcium folinate,drug,0,0,NA,1
2024-512059-19-00,NA,2024,2,0,NA,0,0,1,0,DRUG,1,unknown,1,0,NA,0,telebrix gastro 300 mg i ml oplossing voor orale of rectale toediening,drug,0,0,NA,1
2024-512128-12-01,NA,2024,2,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,digitoxin awd 0 07 0 07 mg tablette,drug,0,0,NA,1
2024-512467-31-00,NA,2024,1,0,NA,0,0,1,0,DRUG,0,unknown,1,1,NA,0,68ga fapi 46,drug,0,0,NA,1
2024-512475-12-01,NA,2024,4,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,innohep 3500 anti xa iu injektioneste liuos kerta annosruiskussa,drug,0,0,NA,1
2024-512487-61-00,NA,2024,3,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,calcium chloratum wzf 67 mg ml roztw r do wstrzykiwa,drug,0,0,NA,1
2024-512742-42-00,NA,2024,2,0,NA,0,0,1,0,OTHER,0,unknown,0,0,NA,0,cytotoxic,other,0,0,NA,1
2024-512951-18-00,NA,2024,2,0,NA,0,0,1,0,DRUG,0,academic,1,1,NA,0,fluorouracil,drug,17,2,0.6,0
2024-512982-15-00,NA,2024,3,0,NA,0,0,12,1,DRUG,0,big_pharma,8,3,NA,0,lynparza 150 mg film coated tablets,drug,0,0,NA,1
2024-513006-61-00,NA,2024,1,0,NA,0,0,1,0,NA,0,unknown,0,0,NA,0,advanced disease,NA,257,67,0,0
2024-513303-14-00,NA,2024,1,0,NA,0,0,1,0,NA,0,unknown,0,0,NA,0,imaging diagnostics,NA,51,19,0,0
2024-513317-12-00,NA,2024,3,0,NA,1,0,9,1,DRUG,0,biotech,0,0,NA,0,gemcitabine,drug,83,16,0.419,0
2024-513827-18-00,NA,2024,1,0,NA,0,0,1,0,NA,0,biotech,0,0,NA,0,imaging diagnostics,NA,51,19,0,0
2024-514129-43-00,NA,2024,2,0,NA,0,0,3,1,DRUG,0,unknown,2,0,NA,0,ginisortamab,drug,0,0,NA,1
2024-514598-23-00,NA,2024,1,0,NA,0,0,1,0,OTHER,0,unknown,0,0,NA,0,mycobaterium obuense strain nctc 13365 heat killed,other,0,0,NA,1
2024-514905-79-00,NA,2024,1,0,NA,0,0,3,1,DRUG,1,unknown,1,1,NA,0,calcium levofolinate,drug,0,0,NA,1
2024-515045-42-00,NA,2024,2,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,cyramza 10 mg ml concentrate for solution for infusion,drug,0,0,NA,1
2024-515214-41-00,NA,2025,3,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,fluorouracil,drug,20,4,0.6,0
2024-516063-89-00,NA,2024,3,0,NA,0,0,4,1,DRUG,0,biotech,0,0,NA,0,paclitaxel albumin bound,drug,0,0,NA,1
2024-516260-29-00,NA,2024,3,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,irinotecan hcl trihydraat fresenius kabi 20 mg ml concentraat voor oplossing voor infusie,drug,0,0,NA,1
2024-516466-11-00,NA,2024,2,0,NA,0,0,1,0,DRUG,0,unknown,4,2,NA,0,lynparza 100 mg film coated tablets,drug,0,0,NA,1
2024-516558-24-00,NA,2026,2,0,NA,0,0,1,0,DRUG,0,academic,3,2,0,0,saruparib,drug,0,0,NA,1
2024-517270-23-00,NA,2025,2,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,galliapharm 0 74 1 85 gbq g n rateur radiopharmaceutique,drug,0,0,NA,1
2024-517358-86-00,NA,2024,2,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,hyperpolarized 1 13c pyruvate,drug,0,0,NA,1
2024-517766-41-00,NA,2025,2,0,NA,1,0,1,0,DRUG,0,unknown,0,0,NA,0,oxaliplatine accord 5 mg ml solution diluer pour perfusion,drug,0,0,NA,1
2024-518938-81-00,NA,2024,2,0,1,0,0,1,0,DRUG,0,academic,1,1,NA,0,gemcitabine,drug,83,16,0.419,0
2024-519031-42-00,NA,2024,3,0,NA,1,0,1,0,DRUG,0,unknown,2,2,NA,0,abraxane 5 mg ml powder for dispersion for infusion,drug,0,0,NA,1
2024-519048-33-00,NA,2025,2,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,elvorine 100 mg 10 ml solution injectable,drug,0,0,NA,1
2024-519067-17-00,NA,2024,2,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,bleoprim 15 mg polvere per soluzione iniettabile,drug,0,0,NA,1
2024-519505-35-00,NA,2025,3,0,NA,0,0,1,0,DRUG,0,academic,1,1,NA,0,gallium 68ga edotreotide,drug,0,0,NA,1
2024-519633-35-00,NA,2024,4,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,irinotecan,drug,3,1,1,0
2024-519667-18-00,NA,2025,4,0,NA,1,1,5,1,DRUG,0,unknown,0,0,NA,0,octreotide lyomark 0 1 mg ml oplossing voor injectie,drug,0,0,NA,1
2024-519753-11-00,NA,2025,2,0,NA,0,1,1,0,DRUG,0,unknown,0,0,NA,0,apexelsin 5 mg ml powder for dispersion for infusion,drug,0,0,NA,1
2024-519972-21-00,NA,2025,3,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,chirhostim,drug,0,0,NA,1
2024-520043-17-00,NA,2025,3,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,innohep 10 000 anti xa iu 0 5ml pf syr,drug,0,0,NA,1
2025-521164-36-00,NA,2026,1,0,NA,0,0,1,0,OTHER,0,biotech,0,0,NA,0,chemical,other,1,1,NA,0
2025-521235-37-00,NA,2025,1,0,NA,0,0,1,0,NA,0,biotech,0,0,NA,0,imaging diagnostics,NA,56,21,0,0
2025-521273-14-00,NA,2025,1,0,1,0,0,1,0,DRUG,0,unknown,0,0,NA,0,verdye 5 mg ml polvere per soluzione iniettabile,drug,0,0,NA,1
2025-521702-18-00,NA,2026,1,0,NA,0,1,4,1,NA,0,big_pharma,6,4,NA,0,imaging diagnostics,NA,58,21,0,0
2025-521784-12-00,NA,2025,4,0,NA,1,0,1,0,DRUG,0,unknown,0,0,NA,0,remimazolam,drug,0,0,NA,1
2025-521872-69-00,NA,2025,1,0,NA,0,0,1,0,NA,0,biotech,0,0,NA,0,advanced disease,NA,267,60,0,0
2025-522243-17-00,NA,2025,1,0,NA,0,0,1,0,NA,0,unknown,2,1,0,0,genomics precision,NA,11,6,NA,0
2025-522290-11-00,NA,2025,1,0,NA,0,0,1,0,NA,0,academic,4,1,1,0,biomarker,NA,65,30,0.5,0
2025-522530-31-01,NA,2026,2,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,lynparza 150 mg film coated tablets,drug,1,1,NA,0
2025-522533-54-00,NA,2026,2,0,NA,0,1,1,0,DRUG,0,unknown,1,1,NA,0,dextrose injection bradex 5,drug,0,0,NA,1
2025-522598-12-00,NA,2025,2,0,NA,0,0,15,1,DRUG,0,big_pharma,0,0,NA,0,mrtx1719 matching placebo,drug,0,0,NA,1
2025-523172-23-00,NA,2026,1,0,NA,0,0,1,0,NA,0,unknown,0,0,NA,0,advanced disease,NA,271,57,0,0
NCT00002689,NA,1999,2,0,NA,0,0,1,0,DRUG,1,academic,0,0,NA,0,dexamethasone,drug,0,0,NA,1
NCT00002773,NA,1999,2,0,NA,0,0,1,0,BIOLOGICAL,1,academic,0,0,NA,0,allogeneic tumor cell vaccine,biological,0,0,NA,1
NCT00003018,NA,1999,2,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,dipyridamole,drug,0,0,NA,1
NCT00003025,NA,1999,1,0,NA,0,0,1,0,BIOLOGICAL,0,academic,0,0,NA,0,vitespen,biological,0,0,NA,1
NCT00003085,0,1999,2,0,NA,0,0,1,0,PROCEDURE,0,academic,0,0,NA,0,laparoscopy,procedure,0,0,NA,1
NCT00003332,NA,1999,1,0,NA,0,0,1,0,DRUG,1,unknown,0,0,NA,0,cisplatin,drug,0,0,NA,1
NCT00003411,NA,1999,1,0,NA,0,0,1,0,DRUG,1,academic,0,0,NA,0,motexafin gadolinium,drug,0,0,NA,1
NCT00003434,0,1999,1,0,NA,0,0,1,0,BIOLOGICAL,0,academic,0,0,NA,0,carcinoembryonic antigen peptide 1,biological,0,0,NA,1
NCT00003531,0,1999,2,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,antineoplaston therapy atengenal astugenal,drug,0,0,NA,1
NCT00003591,NA,1999,2,0,NA,0,0,2,1,DRUG,1,unknown,0,0,NA,0,paclitaxel,drug,0,0,NA,1
NCT00003677,NA,1999,2,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,dolastatin 10,drug,0,0,NA,1
