trial_uid,binary_success_label,start_year,phase_numeric,num_arms,is_randomized,is_multi_center,country_count,is_multi_country,intervention_type,is_combination_therapy,sponsor_type,sponsor_trial_count_total,sponsor_trial_count_last_5y,sponsor_success_rate_historical,is_top_10_sponsor,target_primary,target_category,target_trial_count_total,target_trial_count_last_5y,target_success_rate_historical,is_novel_target
NCT00003085,0,1999,2,NA,0,0,1,0,PROCEDURE,0,academic,0,0,NA,0,laparoscopy,procedure,0,0,NA,1
NCT00003434,0,1999,1,NA,0,0,1,0,BIOLOGICAL,0,academic,0,0,NA,0,carcinoembryonic antigen peptide 1,biological,0,0,NA,1
NCT00003531,0,1999,2,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,antineoplaston therapy atengenal astugenal,drug,0,0,NA,1
NCT00003851,0,1999,NA,NA,0,0,1,0,BIOLOGICAL,1,academic,0,0,NA,0,proteolytic enzymes,biological,0,0,NA,1
NCT00027521,0,2001,1,NA,0,0,NA,0,BIOLOGICAL,1,biotech,0,0,NA,0,bleomycin sulfate,biological,0,0,NA,1
NCT00030732,1,2002,3,NA,0,0,4,1,DRUG,0,academic,0,0,NA,0,gemcitabine capecitabine,drug,0,0,NA,1
NCT00031837,0,2002,3,NA,0,0,1,0,DRUG,1,unknown,0,0,NA,0,dalteparin,drug,0,0,NA,1
NCT00040183,1,2002,3,NA,0,0,17,1,DRUG,0,biotech,0,0,NA,0,tarceva erlotinib hcl osi 774,drug,0,0,NA,1
NCT00051467,1,2003,3,NA,0,0,1,0,GENETIC,0,unknown,0,0,NA,0,tnferade,genetic,0,0,NA,1
NCT00058201,1,2003,3,NA,0,0,13,1,DRUG,1,academic,0,0,NA,0,fluorouracil,drug,4,4,NA,0
NCT00066677,0,2003,2,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,rhumab vegf,drug,0,0,NA,1
NCT00088894,1,2004,3,NA,0,0,1,0,DRUG,1,academic,8,8,NA,1,gemcitabine hydrochloride,drug,9,9,NA,0
NCT00094445,1,2004,2,NA,0,0,1,0,DRUG,0,academic,3,3,NA,1,curcumin,drug,0,0,NA,1
NCT00112658,1,2005,2,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,fluorouracil,drug,6,6,1,0
NCT00112697,1,2005,2,NA,0,0,1,0,DRUG,1,unknown,0,0,NA,0,cisplatin,drug,3,1,NA,0
NCT00113256,0,2005,2,NA,0,0,1,0,DRUG,0,biotech,1,1,NA,0,rubitecan,drug,0,0,NA,1
NCT00114179,1,2005,2,NA,0,0,1,0,DRUG,1,academic,12,12,1,1,capecitabine,drug,1,1,NA,0
NCT00121745,0,2005,1,NA,0,0,1,0,GENETIC,0,biotech,0,0,NA,0,rexin g dose 1,genetic,0,0,NA,1
NCT00126633,1,2005,2,NA,0,0,1,0,BIOLOGICAL,1,academic,0,0,NA,0,bevacizumab,biological,1,1,NA,0
NCT00159471,0,2005,NA,NA,0,0,1,0,DRUG,0,academic,1,0,0,0,capecitabine gemcitabine docetaxel,drug,0,0,NA,1
NCT00176735,0,2005,NA,NA,0,0,NA,0,DRUG,0,academic,0,0,NA,0,capecitabine,drug,1,1,NA,0
NCT00177853,0,2005,1,NA,0,0,1,0,DRUG,1,academic,2,1,NA,0,celecoxib,drug,1,1,NA,0
NCT00201838,1,2005,1,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,gemcitabine,drug,2,2,NA,0
NCT00203892,1,2005,1,NA,0,0,1,0,BIOLOGICAL,0,academic,1,1,NA,0,modified cea peptide 10mcg,biological,0,0,NA,1
NCT00209677,0,2005,1,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,gemcitabine,drug,2,2,NA,0
NCT00219557,1,2005,2,NA,0,0,8,1,DRUG,0,big_pharma,2,2,NA,1,gemcitabine,drug,2,2,NA,0
NCT00226746,0,2005,2,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,paclitaxel and gemcitabine,drug,0,0,NA,1
NCT00253526,0,2005,2,NA,0,0,NA,0,DRUG,1,academic,12,12,1,1,bevacizumab,drug,1,1,NA,0
NCT00262951,0,2005,2,NA,0,0,1,0,BIOLOGICAL,1,academic,0,0,NA,0,recombinant interferon alfa,biological,1,1,NA,0
NCT00265876,1,2005,1,NA,0,0,1,0,DRUG,0,academic,1,1,NA,0,azd0530,drug,0,0,NA,1
NCT00276744,0,2006,2,NA,0,0,1,0,BIOLOGICAL,1,academic,0,0,NA,0,cetuximab,biological,2,2,NA,0
NCT00281996,0,2006,1,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,gemcitabine,drug,8,8,0.667,0
NCT00307723,0,2006,1,NA,0,0,NA,0,DRUG,1,academic,0,0,NA,0,bevacizumab,drug,6,6,0.5,0
NCT00310050,0,2006,1,NA,0,0,1,0,DRUG,1,academic,1,1,NA,0,pemetrexed disodium,drug,0,0,NA,1
NCT00322712,0,2006,NA,NA,0,0,1,0,NA,0,academic,0,0,NA,0,advanced disease,NA,10,10,NA,0
NCT00326911,0,2006,2,NA,0,0,1,0,BIOLOGICAL,1,big_pharma,3,3,NA,0,cetuximab,biological,2,2,NA,0
NCT00335543,1,2006,2,NA,0,0,3,1,DRUG,1,unknown,0,0,NA,0,cisplatin,drug,4,1,1,0
NCT00336700,0,2006,2,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,gemcitabine,drug,8,8,0.667,0
NCT00358566,0,2006,3,NA,0,0,12,1,BIOLOGICAL,1,unknown,0,0,NA,0,gv1001,biological,0,0,NA,1
NCT00364364,0,2006,0.5,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,radiolabeled humanized pam4 igg,drug,0,0,NA,1
NCT00386399,0,2006,2,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,mitomycin c,drug,0,0,NA,1
