nct_id,title,study_type,phase,status,sponsor,classification,classification_reason
NCT00002773,"Vaccine Therapy, Chemotherapy, and GM-CSF in Treating Patients With Advanced Pancreatic Cancer",INTERVENTIONAL,PHASE2,COMPLETED,St. Vincent Medical Center - Los Angeles,therapeutic,Interventional study
NCT00003411,"Radiation Therapy in Treating Patients With Bile Duct, Gallbladder, or Pancreatic Cancer",INTERVENTIONAL,PHASE1,COMPLETED,University of Pittsburgh,therapeutic,Interventional study
NCT00003546,Gemcitabine Plus Radiation Therapy in Treating Patients With Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,Alliance for Clinical Trials in Oncology,therapeutic,Interventional study
NCT00003677,Dolastatin 10 in Treating Patients With Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,M.D. Anderson Cancer Center,therapeutic,Interventional study
NCT00003760,Irofulvene in Treating Patients With Stage III or Stage IV Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,The University of Texas Health Science Center at San Antonio,therapeutic,Interventional study
NCT00003851,"Gemcitabine Compared With Pancreatic Enzyme Therapy Plus Specialized Diet (Gonzalez Regimen) in Treating Patients Who Have Stage II, Stage III, or Stage IV Pancreatic Cancer",INTERVENTIONAL,NA,TERMINATED,Columbia University,therapeutic,Interventional study
NCT00004003,Combination Chemotherapy in Treating Patients With Stage III or Stage IV Pancreatic Cancer That Cannot Be Removed by Surgery,INTERVENTIONAL,PHASE2,COMPLETED,Barbara Ann Karmanos Cancer Institute,therapeutic,Interventional study
NCT00004190,Gemcitabine Plus Oxaliplatin in Treating Patients With Refractory Locally Advanced or Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,Alliance for Clinical Trials in Oncology,therapeutic,Interventional study
NCT00004884,Docetaxel and Gemcitabine Compared With Docetaxel and Cisplatin in Treating Patients With Metastatic or Locally Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,European Organisation for Research and Treatment of Cancer - EORTC,therapeutic,Interventional study
NCT00005648,Gemcitabine With or Without Tipifarnib (R115777) in Treating Patients With Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE3,COMPLETED,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",therapeutic,Interventional study
NCT00005869,Nitrocamptothecin Compared With Gemcitabine in Treating Patients With Unresectable Locally Advanced or Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE3,UNKNOWN,"Astex Pharmaceuticals, Inc.",therapeutic,Interventional study
NCT00005871,Nitrocamptothecin or Fluorouracil in Treating Patients With Recurrent or Refractory Pancreatic Cancer,INTERVENTIONAL,PHASE3,UNKNOWN,"Astex Pharmaceuticals, Inc.",therapeutic,Interventional study
NCT00006117,Gemcitabine and Oxaliplatin in Treating Patients With Locally Advanced or Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,UNKNOWN,GERCOR - Multidisciplinary Oncology Cooperative Group,therapeutic,Interventional study
NCT00016965,BMS-247550 in Treating Patients With Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,SWOG Cancer Research Network,therapeutic,Interventional study
NCT00024362,BBR 3464 in Treating Patients With Locally Advanced or Metastatic Pancreatic Cancer That Cannot be Treated With Surgery,INTERVENTIONAL,PHASE2,UNKNOWN,Theradex,therapeutic,Interventional study
NCT00024375,DHA-Paclitaxel in Treating Patients With Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,UNKNOWN,Theradex,therapeutic,Interventional study
NCT00025168,Combination Chemotherapy Plus Radiation Therapy in Treating Patients With Locally Advanced Unresectable Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,Wake Forest University Health Sciences,therapeutic,Interventional study
